,index,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,id
0,0,0.03783765807747841,0.032540337182581425,0.03867329657077789,0.038481488823890686,0.04876376688480377,0.039773271419107914,0.037093386985361576,0.7570242604706436,0.04044556990265846,5
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
3,2,0.04004762158729136,0.03942711488343775,0.055850982666015625,0.03534533106721938,0.11628333106637001,0.2275192178785801,0.036759121576324105,0.7581664472818375,0.03767754905857146,5
4,3,0.2822265625,0.400837991386652,0.2916092285886407,0.10238515678793192,0.12840569391846657,0.1797337681055069,0.42762531340122223,0.7867573061957955,0.2048109380993992,5
5,4,0.03814697265625,0.04907425586134195,0.05646569863893092,0.036025587702170014,0.07979831867851317,0.1236605728045106,0.03615893516689539,0.7636235936079174,0.040783832082524896,5
6,5,0.03861330542713404,0.03893178910948336,0.04556963685899973,0.036484637297689915,0.08094031945802271,0.13908429094590247,0.036484637297689915,0.7522523591760546,0.039185101399198174,5
7,6,0.03953626402653754,0.03922739997506142,0.0525126988068223,0.04014539555646479,0.07624393701553345,0.13007328286767006,0.03716395143419504,0.764824123121798,0.040586853632703424,5
8,7,0.038811452919617295,0.03607773780822754,0.048313295701518655,0.03548891190439463,0.07686878088861704,0.08181087323464453,0.03629252896644175,0.7566260257735848,0.03778425068594515,5
9,8,0.19043283560313284,0.3792835215572268,0.511088851839304,0.17206748598255217,0.2609199322760105,0.31977975741028786,0.586859422037378,0.7801394036505371,0.07556290947832167,5
10,9,0.054953100392594934,0.21731564798392355,0.698434398509562,0.07227742136456072,0.3379615491721779,0.21302641928195953,0.05158670828677714,0.7804089749697596,0.07476806640625,5
1,10,0.04254032135941088,0.0703055711928755,0.06349575612694025,0.03534533106721938,0.2657590026501566,0.12943569663912058,0.048622349509969354,0.7623973602894694,0.03761241678148508,5
2,11,0.07232665666379035,0.18167969677597284,0.10755589441396296,0.05407668650150299,0.2934082879219204,0.13812991068698466,0.24894825206138194,0.7793848516885191,0.05057969153858721,5
0,0,0.038182743825018406,0.04650598601438105,0.07507713721133769,0.038481488823890686,0.17314518336206675,0.1276740545872599,0.040108716348186135,0.7625838974490762,0.06581586063839495,6
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
3,2,0.041290765861049294,0.05244278907775879,0.06964360945858061,0.035328120924532413,0.1832309199962765,0.2275192178785801,0.05126144830137491,0.7677092412486672,0.04230147250927985,6
4,3,0.2822265625,0.3576308637857437,0.2916092285886407,0.10238515678793192,0.12840569391846657,0.1797337681055069,0.42762531340122223,0.7867573061957955,0.2048109380993992,6
5,4,0.05825635138899088,0.09108540625311434,0.15567898843437433,0.03709926479496062,0.15328008774667978,0.1236605728045106,0.08404301502741873,0.7863242635503411,0.05885451124049723,6
6,5,0.03861330542713404,0.047265902161598206,0.045758756110444665,0.036484637297689915,0.08094031945802271,0.13908429094590247,0.0374764131847769,0.7687791818752885,0.04152674810029566,6
7,6,0.03953626402653754,0.05224031419493258,0.06485639605671167,0.04014539555646479,0.08250190317630768,0.13007328286767006,0.03878740803338587,0.7721007326617837,0.046190625289455056,6
8,7,0.038745347410440445,0.05488873366266489,0.05137205962091684,0.03548891190439463,0.1287449209485203,0.09716096892952919,0.040206564823165536,0.7706265805754811,0.04132798151113093,6
9,8,0.25699095078743994,0.2516047398094088,0.511088851839304,0.17206748598255217,0.2609199322760105,0.30522859864868224,0.6540459583047777,0.7801394036505371,0.10437702969647944,6
10,9,0.05279280338436365,0.21731564798392355,0.5612189918756485,0.0639425553381443,0.3379615491721779,0.21302641928195953,0.04980710241943598,0.7804089749697596,0.11016370356082916,6
